x i1 i2 i3 i4 i5 i6 i7 i8
0.670000 0.000000 0.000094 0.000214 0.000345 0.000482 0.000624 0.000771 0.000920
0.680000 0.000000 0.000095 0.000214 0.000345 0.000482 0.000624 0.000771 0.000920
0.690000 0.000000 0.000095 0.000214 0.000345 0.000482 0.000625 0.000771 0.000920
0.700000 0.000000 0.000095 0.000214 0.000345 0.000482 0.000625 0.000771 0.000920
0.710000 0.000000 0.000095 0.000214 0.000345 0.000482 0.000625 0.000771 0.000920
0.720000 0.000000 0.000095 0.000215 0.000345 0.000482 0.000625 0.000771 0.000921
0.730000 0.000000 0.000095 0.000215 0.000345 0.000482 0.000625 0.000771 0.000921
0.740000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000625 0.000771 0.000921
0.750000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000625 0.000771 0.000921
0.760000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000625 0.000772 0.000921
0.770000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000625 0.000772 0.000921
0.780000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000625 0.000772 0.000921
0.790000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000625 0.000772 0.000921
0.800000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000625 0.000772 0.000922
0.810000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000626 0.000772 0.000922
0.820000 0.000000 0.000095 0.000215 0.000345 0.000483 0.000626 0.000772 0.000922
0.830000 0.000000 0.000095 0.000215 0.000346 0.000483 0.000626 0.000772 0.000922
0.840000 0.000000 0.000095 0.000215 0.000346 0.000483 0.000626 0.000772 0.000922
0.850000 0.000000 0.000095 0.000215 0.000346 0.000483 0.000626 0.000772 0.000922
0.860000 0.000000 0.000095 0.000215 0.000346 0.000483 0.000626 0.000773 0.000922
0.870000 0.000000 0.000095 0.000215 0.000346 0.000483 0.000626 0.000773 0.000922
0.880000 0.000000 0.000095 0.000215 0.000346 0.000483 0.000626 0.000773 0.000923
0.890000 0.000000 0.000095 0.000215 0.000346 0.000484 0.000626 0.000773 0.000923
